"månad";"Totalt Relativt arbetslöshetstal";"Totalt Ungdomsarbetslöshetstal (under 25 år)";"Totalt Arbetslöshetstal 55 år o äldre";"Totalt Långtidsarbetslöshetstal, 6 mån +";"Totalt Långtidsarbetslöshetstal under 25 år";"Totalt Långtidsarbetslöshetstal 55 år o äldre";"Totalt Lediga platser / arbetslösa"
"2001M01";2.4;4.4;3.7;0.5;0.1;1.9;147.6
"2001M02";2.2;4.0;3.8;0.5;0.1;2.0;192.6
"2001M03";1.9;2.3;3.3;0.5;0.2;1.7;215.6
"2001M04";1.8;2.2;3.2;0.6;0.2;1.9;174.2
"2001M05";1.7;1.3;3.2;0.6;0.2;1.8;114.9
"2001M06";1.8;1.6;3.2;0.6;0.1;1.9;95.7
"2001M07";1.7;1.9;3.2;0.5;0.0;1.9;102.3
"2001M08";1.6;3.0;3.1;0.5;0.0;1.9;103.8
"2001M09";1.6;3.3;2.7;0.5;0.0;1.9;82.4
"2001M10";2.0;4.9;2.8;0.4;0.0;1.7;70.1
"2001M11";1.9;4.0;3.1;0.5;0.1;1.7;87.1
"2001M12";2.2;3.9;3.4;0.5;0.1;1.8;93.0
"2002M01";2.3;4.5;3.3;0.5;0.1;1.6;168.7
"2002M02";2.1;4.0;2.9;0.4;0.1;1.5;208.8
"2002M03";1.7;2.8;2.8;0.6;0.2;1.7;208.3
"2002M04";1.5;1.4;2.6;0.5;0.2;1.7;213.7
"2002M05";1.6;1.8;2.9;0.5;0.2;1.6;155.3
"2002M06";1.5;2.2;2.4;0.5;0.2;1.5;125.5
"2002M07";1.5;2.1;2.4;0.0;0.0;0.0;104.0
"2002M08";1.7;1.9;2.4;0.4;0.2;1.3;88.9
"2002M09";1.6;4.5;2.3;0.4;0.2;1.3;64.7
"2002M10";1.9;4.3;2.5;0.4;0.2;1.2;42.9
"2002M11";2.0;4.3;2.5;0.4;0.2;1.2;47.1
"2002M12";2.1;3.7;2.7;0.4;0.2;1.1;54.0
"2003M01";2.2;4.8;2.6;0.3;0.2;0.9;165.3
"2003M02";2.1;5.7;2.5;0.4;0.3;0.9;185.7
"2003M03";2.0;4.6;2.5;0.4;0.2;1.0;194.7
"2003M04";1.6;3.0;2.3;0.4;0.2;1.2;215.0
"2003M05";1.5;3.1;1.8;0.4;0.2;0.9;147.2
"2003M06";1.6;4.0;1.7;0.4;0.3;0.8;123.8
"2003M07";1.7;3.0;2.0;0.3;0.2;0.8;105.4
"2003M08";1.9;3.3;1.9;0.4;0.2;1.0;63.7
"2003M09";2.0;5.0;1.8;0.4;0.1;1.0;49.6
"2003M10";2.2;4.9;2.3;0.3;0.1;0.9;40.1
"2003M11";2.3;5.3;2.4;0.3;0.2;0.9;41.3
"2003M12";2.3;4.7;2.9;0.3;0.1;1.0;58.2
"2004M01";2.8;6.9;2.9;0.4;0.2;0.9;85.7
"2004M02";2.7;5.3;2.8;0.4;0.2;1.1;124.0
"2004M03";2.0;3.2;2.3;0.5;0.2;1.2;139.4
"2004M04";2.0;3.6;2.4;0.5;0.2;1.2;121.2
"2004M05";1.8;3.2;2.2;0.4;0.1;1.2;84.9
"2004M06";1.8;3.4;2.3;0.4;0.1;1.2;71.6
