"","Datum","konsumenprisindex"
"1",2001-01-01,2.6
"2",2001-02-01,2.9
"3",2001-03-01,2.6
"4",2001-04-01,2.9
"5",2001-05-01,3.2
"6",2001-06-01,2.8
"7",2001-07-01,2
"8",2001-08-01,2.3
"9",2001-09-01,1.6
"10",2001-10-01,1.6
"11",2001-11-01,1.5
"12",2001-12-01,1.7
"13",2002-01-01,2.4
"14",2002-02-01,1.9
"15",2002-03-01,2.3
"16",2002-04-01,2.2
"17",2002-05-01,1.8
"18",2002-06-01,1.8
"19",2002-07-01,2.1
"20",2002-08-01,2.1
"21",2002-09-01,2.3
"22",2002-10-01,2.5
"23",2002-11-01,2.1
"24",2002-12-01,2.2
"25",2003-01-01,1.4
"26",2003-02-01,1.8
"27",2003-03-01,1.4
"28",2003-04-01,0.6
"29",2003-05-01,0.5
"30",2003-06-01,0.6
"31",2003-07-01,0.4
"32",2003-08-01,0.5
"33",2003-09-01,-0.2
"34",2003-10-01,0.2
"35",2003-11-01,0.4
"36",2003-12-01,0.2
"37",2004-01-01,0
"38",2004-02-01,0.1
"39",2004-03-01,-0.6
"40",2004-04-01,-0.3
"41",2004-05-01,0.1
"42",2004-06-01,0.2
"43",2004-07-01,0.7
"44",2004-08-01,0.3
"45",2004-09-01,0.8
"46",2004-10-01,0.4
"47",2004-11-01,0.1
"48",2004-12-01,0
"49",2005-01-01,-0.1
"50",2005-02-01,-0.3
"51",2005-03-01,0.8
"52",2005-04-01,1.1
"53",2005-05-01,0.6
"54",2005-06-01,0.9
"55",2005-07-01,1.1
"56",2005-08-01,0.9
"57",2005-09-01,0.8
"58",2005-10-01,1.4
"59",2005-11-01,1.6
"60",2005-12-01,1.8
"61",2006-01-01,2
"62",2006-02-01,2.1
"63",2006-03-01,1.2
"64",2006-04-01,2
"65",2006-05-01,2.3
"66",2006-06-01,2.1
"67",2006-07-01,2.2
"68",2006-08-01,1.6
"69",2006-09-01,0.9
"70",2006-10-01,0.8
"71",2006-11-01,1.4
"72",2006-12-01,1.4
"73",2007-01-01,0.7
"74",2007-02-01,1.2
"75",2007-03-01,2.1
"76",2007-04-01,1.6
