"år";"månad";"Primärnäringar";"Livsmedelsindustri";"Övrig industri";"Vatten, gas, el, värme och avloppshantering";"Byggverksamhet";"Handel";"Transport";"Hotell och restaurang";"Finans och försäkring";"Företagstjänster";"Personliga tjänster";"Totalsumma"
"2001";"januari";138.3;640.6;1493.2;286.4;938.5;1985.3;12021.0;464.5;1342.7;1324.5;699.4;21334.4
"2001";"februari";135.7;660.2;1591.9;286.5;909.6;2069.6;11859.9;437.6;1396.8;1391.3;740.1;21479.1
"2001";"mars";143.5;668.9;1586.1;291.5;955.9;2044.7;12851.4;470.1;1428.1;1458.5;750.9;22649.7
"2001";"april";142.4;676.1;1533.5;297.1;921.3;2083.4;12020.8;473.6;1530.2;1476.6;748.4;21903.3
"2001";"maj";185.1;678.3;1572.8;319.0;980.0;2180.6;12024.2;651.2;1444.0;1534.2;795.6;22365.0
"2001";"juni";233.3;870.2;1957.4;424.5;1076.6;2660.9;13215.1;914.0;2279.3;1894.7;1053.8;26579.8
"2001";"juli";233.4;722.6;1968.7;326.5;1259.9;2623.5;13220.1;1074.6;1549.5;1702.6;937.5;25618.9
"2001";"augusti";199.1;754.4;1635.9;338.6;1076.3;2533.0;13079.4;1165.8;1505.5;1640.1;943.2;24871.3
"2001";"september";180.3;644.6;1535.5;296.6;948.6;2197.6;12015.8;783.9;1456.3;1535.0;824.1;22418.4
"2001";"oktober";218.3;724.1;1510.8;290.7;968.8;2135.2;11531.8;602.0;1442.9;1512.6;809.7;21747.1
"2001";"november";186.9;694.8;1677.6;311.4;997.8;2142.3;10939.8;468.2;1456.0;1587.0;793.7;21255.5
"2001";"december";272.3;701.1;1827.4;371.8;1186.8;2441.8;11660.7;704.5;1713.7;1790.1;890.3;23560.4
"2002";"januari";148.3;674.1;1632.3;315.4;955.9;2235.7;11221.8;460.7;1591.6;1423.9;763.9;21423.6
"2002";"februari";169.7;750.4;1658.8;304.3;1010.1;2254.2;10903.6;429.5;1477.6;1435.7;786.9;21180.7
"2002";"mars";158.8;747.8;1709.8;299.0;1027.0;2292.3;11618.7;441.0;1503.4;1540.9;790.4;22129.1
"2002";"april";178.5;722.0;1588.9;305.8;1026.1;2358.7;11644.0;501.7;1604.1;1556.3;839.2;22325.3
"2002";"maj";206.0;796.5;1858.8;313.6;1092.2;2406.6;12347.6;616.7;1506.7;1665.1;896.1;23706.0
"2002";"juni";232.2;884.7;2199.6;457.2;1314.0;2877.7;13043.0;835.5;2335.7;2069.8;1109.4;27358.6
"2002";"juli";218.3;809.7;2246.2;335.1;1315.1;2844.7;13033.8;1096.6;1609.3;1896.5;1012.1;26417.3
"2002";"augusti";201.8;839.8;1673.0;344.5;1099.7;2785.6;13530.3;1113.5;1553.7;1704.7;994.0;25840.6
"2002";"september";185.3;709.8;1647.5;326.5;1097.6;2352.0;12255.2;813.5;1513.3;1633.5;899.8;23434.0
"2002";"oktober";205.6;754.6;1646.5;314.2;1059.1;2323.9;11952.5;590.3;1520.2;1619.1;903.2;22889.3
"2002";"november";186.3;709.5;1690.8;312.8;1047.9;2307.5;11621.7;484.0;1528.3;1573.4;866.2;22328.4
"2002";"december";248.2;721.2;2124.2;411.3;1286.0;2694.6;11887.6;705.4;1853.1;1955.7;965.6;24852.8
"2003";"januari";132.0;704.0;1795.3;319.6;1022.2;2295.7;11812.8;463.4;1589.2;1513.2;789.3;22436.6
"2003";"februari";159.3;722.9;1723.3;312.9;1135.6;2279.7;11262.8;444.0;1605.6;1583.5;810.6;22040.1
"2003";"mars";144.2;897.3;1670.9;321.1;1114.3;2326.1;11849.5;450.2;1614.1;1669.7;825.2;22882.7
"2003";"april";152.9;728.4;1768.8;326.0;1140.7;2437.8;12172.0;482.1;1607.4;1653.9;839.1;23309.2
"2003";"maj";174.5;770.8;1807.5;348.5;1136.8;2464.6;12588.9;644.9;1628.1;1658.0;900.4;24122.8
"2003";"juni";246.4;890.4;2193.7;479.5;1472.5;3003.3;14146.7;897.8;2535.8;1955.6;1181.3;29003.0
"2003";"juli";228.5;829.4;2174.0;347.7;1367.1;2989.5;14100.3;1192.2;2175.2;1853.9;1089.0;28346.8
"2003";"augusti";189.4;832.8;1764.5;382.1;1237.1;2969.6;14582.4;1234.8;1936.6;1708.8;1072.6;27910.6
