"år";"månad";"Primärnäringar";"Livsmedelsindustri";"Övrig industri";"Vatten, gas, el, värme och avloppshantering";"Byggverksamhet";"Handel";"Transport";"Hotell och restaurang";"Finans och försäkring";"Företagstjänster";"Personliga tjänster";"Totalsumma"
"2001";"januari";2.3;4.1;7.6;2.8;5.8;27.6;47.0;1.7;0.7;5.2;0.5;105.4
"2001";"februari";1.9;4.3;7.2;2.7;5.6;23.6;49.2;1.4;0.8;6.1;0.6;103.4
"2001";"mars";0.7;4.5;8.3;3.5;6.3;28.4;54.4;1.8;0.9;6.3;0.8;115.9
"2001";"april";1.3;6.2;7.7;2.9;5.6;29.3;54.0;1.9;0.9;7.7;0.8;118.2
"2001";"maj";2.0;4.4;8.2;2.3;7.7;33.9;60.1;3.5;1.4;6.6;1.1;131.3
"2001";"juni";1.8;5.8;8.7;3.0;8.9;33.1;59.3;4.5;1.6;8.2;1.3;136.1
"2001";"juli";1.3;4.7;6.1;2.2;5.5;32.7;72.0;6.8;0.9;6.8;1.7;140.7
"2001";"augusti";1.6;5.4;7.4;2.5;5.9;33.3;60.4;5.2;0.8;8.1;1.2;131.6
"2001";"september";1.6;4.5;8.4;2.9;6.7;29.3;53.0;3.1;0.9;6.6;0.8;117.8
"2001";"oktober";2.3;5.2;9.2;2.8;8.0;33.5;55.7;2.2;1.0;11.0;0.8;131.8
"2001";"november";3.0;5.1;8.8;3.0;7.7;31.1;55.8;2.0;1.2;8.3;0.8;126.8
"2001";"december";3.6;5.5;7.2;4.2;8.0;35.2;50.8;2.1;0.9;11.0;0.9;129.5
"2002";"januari";1.7;4.2;7.5;3.1;6.1;26.9;41.7;1.5;0.8;6.4;0.7;100.7
"2002";"februari";1.1;4.6;7.1;1.5;5.5;24.2;45.2;1.3;0.6;7.7;0.7;99.5
"2002";"mars";1.2;4.9;7.7;3.2;6.4;28.8;53.1;1.7;0.7;7.5;0.8;116.1
"2002";"april";1.6;6.1;8.0;2.5;6.4;31.8;52.7;2.1;0.9;9.0;0.9;122.1
"2002";"maj";1.1;3.8;8.8;1.8;8.2;35.2;59.9;3.9;0.7;8.5;1.2;133.2
"2002";"juni";1.5;5.8;7.6;2.7;6.7;31.6;57.1;4.5;1.3;9.0;1.1;128.8
"2002";"juli";1.2;5.3;7.4;2.1;5.2;33.9;70.3;6.9;0.6;8.0;1.8;142.8
"2002";"augusti";0.8;4.9;7.3;2.0;6.6;32.5;59.2;5.1;0.6;8.7;1.2;128.9
"2002";"september";1.4;5.2;8.7;2.8;7.1;30.9;51.1;3.1;1.9;7.9;1.0;121.1
"2002";"oktober";1.9;5.0;9.5;2.9;10.0;33.1;57.5;2.2;0.9;9.5;0.9;133.5
"2002";"november";2.3;5.1;8.0;2.9;7.9;31.3;61.2;1.9;3.2;8.5;0.8;133.0
"2002";"december";3.1;5.9;8.1;4.8;9.7;37.7;56.3;2.0;1.3;11.1;0.9;140.9
"2003";"januari";1.2;4.1;7.8;4.3;7.5;27.9;49.8;1.5;1.1;8.4;0.7;114.2
"2003";"februari";0.8;4.1;8.1;3.5;7.5;28.6;52.2;1.4;1.0;8.3;0.8;116.4
