Datum,Relativt arbetslöshetstal,Ungdomsarbetslöshetstal (under 25 år),Arbetslöshetstal 55 år o äldre,"Långtidsarbetslöshetstal, 6 mån +",Långtidsarbetslöshetstal under 25 år,Långtidsarbetslöshetstal 55 år o äldre,Lediga platser / arbetslösa,val,Antal,Primärnäringar_omsättning,Livsmedelsindustri_omsättning,Övrig industri_omsättning,"Vatten, gas, el, värme och avloppshantering_omsättning",Byggverksamhet_omsättning,Handel_omsättning,Transport_omsättning,Hotell och restaurang_omsättning,Finans och försäkring_omsättning,Företagstjänster_omsättning,Personliga tjänster_omsättning,Totalsumma_omsättning,Primärnäringar_lön,Livsmedelsindustri_lön,Övrig industri_lön,"Vatten, gas, el, värme och avloppshantering_lön",Byggverksamhet_lön,Handel_lön,Transport_lön,Hotell och restaurang_lön,Finans och försäkring_lön,Företagstjänster_lön,Personliga tjänster_lön,Totalsumma_lön
2001-01-01,2.4,4.4,3.7,0.5,0.1,1.9,147.6,0.0,84192,2.3,4.1,7.6,2.8,5.8,27.6,47.0,1.7,0.7,5.2,0.5,105.4,2.3,4.1,7.6,2.8,5.8,27.6,47.0,1.7,0.7,5.2,0.5,105.4
2001-02-01,2.2,4.0,3.8,0.5,0.1,2.0,192.6,0.0,92147,1.9,4.3,7.2,2.7,5.6,23.6,49.2,1.4,0.8,6.1,0.6,103.4,1.9,4.3,7.2,2.7,5.6,23.6,49.2,1.4,0.8,6.1,0.6,103.4
2001-03-01,1.9,2.3,3.3,0.5,0.2,1.7,215.6,0.0,111820,0.7,4.5,8.3,3.5,6.3,28.4,54.4,1.8,0.9,6.3,0.8,115.9,0.7,4.5,8.3,3.5,6.3,28.4,54.4,1.8,0.9,6.3,0.8,115.9
2001-04-01,1.8,2.2,3.2,0.6,0.2,1.9,174.2,0.0,133019,1.3,6.2,7.7,2.9,5.6,29.3,54.0,1.9,0.9,7.7,0.8,118.2,1.3,6.2,7.7,2.9,5.6,29.3,54.0,1.9,0.9,7.7,0.8,118.2
2001-05-01,1.7,1.3,3.2,0.6,0.2,1.8,114.9,0.0,171879,2.0,4.4,8.2,2.3,7.7,33.9,60.1,3.5,1.4,6.6,1.1,131.3,2.0,4.4,8.2,2.3,7.7,33.9,60.1,3.5,1.4,6.6,1.1,131.3
2001-06-01,1.8,1.6,3.2,0.6,0.1,1.9,95.7,0.0,182552,1.8,5.8,8.7,3.0,8.9,33.1,59.3,4.5,1.6,8.2,1.3,136.1,1.8,5.8,8.7,3.0,8.9,33.1,59.3,4.5,1.6,8.2,1.3,136.1
2001-07-01,1.7,1.9,3.2,0.5,0.0,1.9,102.3,0.0,273173,1.3,4.7,6.1,2.2,5.5,32.7,72.0,6.8,0.9,6.8,1.7,140.7,1.3,4.7,6.1,2.2,5.5,32.7,72.0,6.8,0.9,6.8,1.7,140.7
2001-08-01,1.6,3.0,3.1,0.5,0.0,1.9,103.8,0.0,203682,1.6,5.4,7.4,2.5,5.9,33.3,60.4,5.2,0.8,8.1,1.2,131.6,1.6,5.4,7.4,2.5,5.9,33.3,60.4,5.2,0.8,8.1,1.2,131.6
2001-09-01,1.6,3.3,2.7,0.5,0.0,1.9,82.4,0.0,141255,1.6,4.5,8.4,2.9,6.7,29.3,53.0,3.1,0.9,6.6,0.8,117.8,1.6,4.5,8.4,2.9,6.7,29.3,53.0,3.1,0.9,6.6,0.8,117.8
2001-10-01,2.0,4.9,2.8,0.4,0.0,1.7,70.1,0.0,134396,2.3,5.2,9.2,2.8,8.0,33.5,55.7,2.2,1.0,11.0,0.8,131.8,2.3,5.2,9.2,2.8,8.0,33.5,55.7,2.2,1.0,11.0,0.8,131.8
