Datum,Relativt arbetslöshetstal,Ungdomsarbetslöshetstal (under 25 år),Arbetslöshetstal 55 år o äldre,"Långtidsarbetslöshetstal, 6 mån +",Långtidsarbetslöshetstal under 25 år,Långtidsarbetslöshetstal 55 år o äldre,Lediga platser / arbetslösa,Antal,Primärnäringar_omsättning,Livsmedelsindustri_omsättning,Övrig industri_omsättning,"Vatten, gas, el, värme och avloppshantering_omsättning",Byggverksamhet_omsättning,Handel_omsättning,Transport_omsättning,Hotell och restaurang_omsättning,Finans och försäkring_omsättning,Företagstjänster_omsättning,Personliga tjänster_omsättning,Totalsumma_omsättning,Primärnäringar_lön,Livsmedelsindustri_lön,Övrig industri_lön,"Vatten, gas, el, värme och avloppshantering_lön",Byggverksamhet_lön,Handel_lön,Transport_lön,Hotell och restaurang_lön,Finans och försäkring_lön,Företagstjänster_lön,Personliga tjänster_lön,Totalsumma_lön,konsumenprisindex
2001-01-01,2.4,4.4,3.7,0.5,0.1,1.9,147.6,84192,2.3,4.1,7.6,2.8,5.8,27.6,47.0,1.7,0.7,5.2,0.5,105.4,138.3,640.6,1493.2,286.4,938.5,1985.3,12021.0,464.5,1342.7,1324.5,699.4,21334.4,2.6
2001-02-01,2.2,4.0,3.8,0.5,0.1,2.0,192.6,92147,1.9,4.3,7.2,2.7,5.6,23.6,49.2,1.4,0.8,6.1,0.6,103.4,135.7,660.2,1591.9,286.5,909.6,2069.6,11859.9,437.6,1396.8,1391.3,740.1,21479.1,2.9
2001-03-01,1.9,2.3,3.3,0.5,0.2,1.7,215.6,111820,0.7,4.5,8.3,3.5,6.3,28.4,54.4,1.8,0.9,6.3,0.8,115.9,143.5,668.9,1586.1,291.5,955.9,2044.7,12851.4,470.1,1428.1,1458.5,750.9,22649.7,2.6
2001-04-01,1.8,2.2,3.2,0.6,0.2,1.9,174.2,133019,1.3,6.2,7.7,2.9,5.6,29.3,54.0,1.9,0.9,7.7,0.8,118.2,142.4,676.1,1533.5,297.1,921.3,2083.4,12020.8,473.6,1530.2,1476.6,748.4,21903.3,2.9
2001-05-01,1.7,1.3,3.2,0.6,0.2,1.8,114.9,171879,2.0,4.4,8.2,2.3,7.7,33.9,60.1,3.5,1.4,6.6,1.1,131.3,185.1,678.3,1572.8,319.0,980.0,2180.6,12024.2,651.2,1444.0,1534.2,795.6,22365.0,3.2
2001-06-01,1.8,1.6,3.2,0.6,0.1,1.9,95.7,182552,1.8,5.8,8.7,3.0,8.9,33.1,59.3,4.5,1.6,8.2,1.3,136.1,233.3,870.2,1957.4,424.5,1076.6,2660.9,13215.1,914.0,2279.3,1894.7,1053.8,26579.8,2.8
2001-07-01,1.7,1.9,3.2,0.5,0.0,1.9,102.3,273173,1.3,4.7,6.1,2.2,5.5,32.7,72.0,6.8,0.9,6.8,1.7,140.7,233.4,722.6,1968.7,326.5,1259.9,2623.5,13220.1,1074.6,1549.5,1702.6,937.5,25618.9,2.0
2001-08-01,1.6,3.0,3.1,0.5,0.0,1.9,103.8,203682,1.6,5.4,7.4,2.5,5.9,33.3,60.4,5.2,0.8,8.1,1.2,131.6,199.1,754.4,1635.9,338.6,1076.3,2533.0,13079.4,1165.8,1505.5,1640.1,943.2,24871.3,2.3
2001-09-01,1.6,3.3,2.7,0.5,0.0,1.9,82.4,141255,1.6,4.5,8.4,2.9,6.7,29.3,53.0,3.1,0.9,6.6,0.8,117.8,180.3,644.6,1535.5,296.6,948.6,2197.6,12015.8,783.9,1456.3,1535.0,824.1,22418.4,1.6
2001-10-01,2.0,4.9,2.8,0.4,0.0,1.7,70.1,134396,2.3,5.2,9.2,2.8,8.0,33.5,55.7,2.2,1.0,11.0,0.8,131.8,218.3,724.1,1510.8,290.7,968.8,2135.2,11531.8,602.0,1442.9,1512.6,809.7,21747.1,1.6
