"","Period","Antal"
"1",2001-01-01,84192
"2",2001-02-01,92147
"3",2001-03-01,111820
"4",2001-04-01,133019
"5",2001-05-01,171879
"6",2001-06-01,182552
"7",2001-07-01,273173
"8",2001-08-01,203682
"9",2001-09-01,141255
"10",2001-10-01,134396
"11",2001-11-01,115503
"12",2001-12-01,103958
"13",2002-01-01,59334
"14",2002-02-01,87403
"15",2002-03-01,122769
"16",2002-04-01,122077
"17",2002-05-01,178639
"18",2002-06-01,178289
"19",2002-07-01,279009
"20",2002-08-01,207001
"21",2002-09-01,140272
"22",2002-10-01,127566
"23",2002-11-01,113006
"24",2002-12-01,103039
"25",2003-01-01,75294
"26",2003-02-01,88470
"27",2003-03-01,107974
"28",2003-04-01,122458
"29",2003-05-01,178164
"30",2003-06-01,172328
"31",2003-07-01,284414
"32",2003-08-01,190159
"33",2003-09-01,156035
"34",2003-10-01,152680
"35",2003-11-01,127315
"36",2003-12-01,114666
"37",2004-01-01,99033
"38",2004-02-01,120619
"39",2004-03-01,122541
"40",2004-04-01,143133
"41",2004-05-01,193546
"42",2004-06-01,184650
"43",2004-07-01,306572
"44",2004-08-01,222583
"45",2004-09-01,151690
"46",2004-10-01,152010
"47",2004-11-01,137887
"48",2004-12-01,138981
"49",2005-01-01,104493
"50",2005-02-01,128129
"51",2005-03-01,157623
"52",2005-04-01,145598
"53",2005-05-01,205255
"54",2005-06-01,220796
"55",2005-07-01,327980
"56",2005-08-01,247532
"57",2005-09-01,174650
"58",2005-10-01,164756
"59",2005-11-01,151644
"60",2005-12-01,149333
"61",2006-01-01,107141
"62",2006-02-01,126637
"63",2006-03-01,150839
"64",2006-04-01,175927
"65",2006-05-01,200302
"66",2006-06-01,201752
"67",2006-07-01,321554
"68",2006-08-01,237237
"69",2006-09-01,172991
"70",2006-10-01,163134
"71",2006-11-01,150237
"72",2006-12-01,157677
"73",2007-01-01,104168
"74",2007-02-01,126590
"75",2007-03-01,145623
"76",2007-04-01,166063
"77",2007-05-01,197036
"78",2007-06-01,224237
"79",2007-07-01,318642
"80",2007-08-01,248640
"81",2007-09-01,164686
"82",2007-10-01,167814
"83",2007-11-01,156129
"84",2007-12-01,154682
"85",2008-01-01,92499
"86",2008-02-01,145020
"87",2008-03-01,154547
"88",2008-04-01,156824
"89",2008-05-01,211559
"90",2008-06-01,227133
"91",2008-07-01,331278
"92",2008-08-01,229162
"93",2008-09-01,169254
"94",2008-10-01,189726
"95",2008-11-01,162026
"96",2008-12-01,155664
"97",2009-01-01,120954
"98",2009-02-01,143589
"99",2009-03-01,152905
"100",2009-04-01,184702
"101",2009-05-01,220749
"102",2009-06-01,207283
"103",2009-07-01,329028
"104",2009-08-01,244988
"105",2009-09-01,175504
"106",2009-10-01,188082
"107",2009-11-01,160228
"108",2009-12-01,157005
"109",2010-01-01,95299
"110",2010-02-01,127277
"111",2010-03-01,138111
"112",2010-04-01,169664
"113",2010-05-01,213273
"114",2010-06-01,192631
"115",2010-07-01,325617
"116",2010-08-01,246778
"117",2010-09-01,170140
"118",2010-10-01,176004
"119",2010-11-01,168865
"120",2010-12-01,149826
"121",2011-01-01,97578
"122",2011-02-01,127844
"123",2011-03-01,141661
"124",2011-04-01,175916
"125",2011-05-01,195032
"126",2011-06-01,236941
"127",2011-07-01,323360
"128",2011-08-01,231396
"129",2011-09-01,170249
"130",2011-10-01,173385
"131",2011-11-01,167602
"132",2011-12-01,151417
"133",2012-01-01,88017
"134",2012-02-01,132683
"135",2012-03-01,142571
"136",2012-04-01,165866
"137",2012-05-01,197000
"138",2012-06-01,219137
"139",2012-07-01,318751
"140",2012-08-01,229059
"141",2012-09-01,172534
"142",2012-10-01,173484
"143",2012-11-01,164124
"144",2012-12-01,148077
"145",2013-01-01,87177
"146",2013-02-01,131370
"147",2013-03-01,155272
"148",2013-04-01,150866
"149",2013-05-01,183947
"150",2013-06-01,209752
"151",2013-07-01,302220
"152",2013-08-01,220363
"153",2013-09-01,164150
"154",2013-10-01,169657
"155",2013-11-01,158889
"156",2013-12-01,122735
"157",2014-01-01,81888
"158",2014-02-01,128977
"159",2014-03-01,136010
"160",2014-04-01,159272
"161",2014-05-01,188759
"162",2014-06-01,204906
"163",2014-07-01,311279
"164",2014-08-01,225634
"165",2014-09-01,152871
"166",2014-10-01,171053
"167",2014-11-01,152386
"168",2014-12-01,141436
"169",2015-01-01,94355
"170",2015-02-01,124678
"171",2015-03-01,131966
"172",2015-04-01,154535
"173",2015-05-01,196683
"174",2015-06-01,212446
"175",2015-07-01,326502
"176",2015-08-01,231751
"177",2015-09-01,165018
"178",2015-10-01,185200
"179",2015-11-01,146271
"180",2015-12-01,139540
"181",2016-01-01,93189
"182",2016-02-01,118405
"183",2016-03-01,158194
"184",2016-04-01,140633
"185",2016-05-01,192948
"186",2016-06-01,205235
"187",2016-07-01,327009
"188",2016-08-01,232083
"189",2016-09-01,164998
"190",2016-10-01,167812
"191",2016-11-01,144688
"192",2016-12-01,139078
"193",2017-01-01,78296
"194",2017-02-01,119244
"195",2017-03-01,137441
"196",2017-04-01,161886
"197",2017-05-01,182057
"198",2017-06-01,207112
"199",2017-07-01,337900
"200",2017-08-01,237346
"201",2017-09-01,169131
"202",2017-10-01,163661
"203",2017-11-01,148348
"204",2017-12-01,144432
"205",2018-01-01,99032
"206",2018-02-01,113872
"207",2018-03-01,144057
"208",2018-04-01,154673
"209",2018-05-01,190256
"210",2018-06-01,199844
"211",2018-07-01,323675
"212",2018-08-01,236218
"213",2018-09-01,161072
"214",2018-10-01,165876
"215",2018-11-01,148973
"216",2018-12-01,150962
"217",2019-01-01,68971
"218",2019-02-01,124967
"219",2019-03-01,135460
"220",2019-04-01,134054
"221",2019-05-01,186439
"222",2019-06-01,206581
"223",2019-07-01,330292
"224",2019-08-01,240430
"225",2019-09-01,161594
"226",2019-10-01,166521
"227",2019-11-01,144908
"228",2019-12-01,143673
"229",2020-01-01,102431
"230",2020-02-01,115454
"231",2020-03-01,42579
"232",2020-04-01,3012
"233",2020-05-01,8040
"234",2020-06-01,37430
"235",2020-07-01,123003
"236",2020-08-01,77594
"237",2020-09-01,58947
"238",2020-10-01,55403
"239",2020-11-01,28772
"240",2020-12-01,26540
"241",2021-01-01,17792
"242",2021-02-01,20043
"243",2021-03-01,18679
"244",2021-04-01,24984
"245",2021-05-01,42545
"246",2021-06-01,88516
"247",2021-07-01,207066
"248",2021-08-01,117916
"249",2021-09-01,88856
"250",2021-10-01,99649
"251",2021-11-01,89459
"252",2021-12-01,69453
"253",2022-01-01,16881
"254",2022-02-01,39641
"255",2022-03-01,72007
"256",2022-04-01,107955
"257",2022-05-01,133326
"258",2022-06-01,158047
"259",2022-07-01,250278
"260",2022-08-01,159345
"261",2022-09-01,110173
"262",2022-10-01,110492
"263",2022-11-01,99106
"264",2022-12-01,98288
"265",2023-01-01,56107
"266",2023-02-01,64756
"267",2023-03-01,77525
"268",2023-04-01,104863
"269",2023-05-01,120762
"270",2023-06-01,141737
"271",2023-07-01,193815
"272",2023-08-01,139003
"273",2023-09-01,107994
"274",2023-10-01,95748
"275",2023-11-01,84981
"276",2023-12-01,89524
